s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,representation,representation_semi,kinetic,map,map2,spatial_dimension,spatial_dimension2,pl,si,va,te,co,or,sh,reflection,po,li,ar,notes
238,Juan de Flandes ,The Ascension,representation,Prado Museum,12,FALSE,painting,"painting, oil on pine panel",110 x 84 cm,1514,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0,2,0,0,0,4,FALSE,0,3,5,"bottom of (cutoff) figure going into cloud, people looking up, focus on footprints on rock & on feet, unnaturalness of top part"
239,Lucas Cranach the Elder,CacerМ_a en el castillo de Torgau en honor de Fernando I,representation,Prado Museum,5,FALSE,painting,"painting, oil on panel",118 x 177 cm,1545,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,2,1,0,0,1,4,FALSE,0,5,5,"stags in river, antlers, archers behind trees, moving figures, teeming w/ activity, unusual space, use of bridge, swirling water"
226,Pieter Bruegel ‰ЫПThe Elder‰Ыќ ,The Wine of Saint Martin's Day,representation,Prado Museum,20,FALSE,painting,"painting, glue-size on twill",148 x 271 cm,1566,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,0,0,0,1,3,FALSE,3,3,5,"grouping of figures on top of red container reaching in, may not be uncertainty but chaotic grouping of figures in one area of the painting is interesting"
240,El Greco (Domenikos Theotokopoulos),The Vision of Saint John,representation,Met Museum,19,FALSE,painting,"painting, oil on canvas",225 x 199 cm,1609,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,1,3,2,3,1,4,FALSE,0,5,5,"elongated figure w/ arms in air, gesture, specific use of color, swirling sky & robes w/ internal shapes that relate closely to figures, use of outlines around figures"
227,Herman Van Vollenhoven,Still Life with Game Fowl,representation,Prado Museum,20,FALSE,painting,"painting, oil on panel",26 x 36 cm,1625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,2,1,0,4,2,FALSE,3,3,5,"dead birds, sideways & upside down, may not be uncertainty but grouping dead birds, two partly unside down, dark values"
228,Claes Claesz Wou,Ships in a Storm,representation,Prado Museum,20,FALSE,painting,"painting, oil on panel",37 x 56 cm,1633,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,3,0,1,5,3,FALSE,0,5,5,"tilt of ship, size of waves, darkness of water"
229,Jacob Peeter Gowy,The Fall of Icarus,representation,Prado Museum,12,FALSE,painting,"painting, oil on canvas",195 x 180 cm,1636,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,2,1,0,1,5,4,FALSE,0,5,5,"upside down angle of falling figure to ground, accentuated w/ red cloth, wispy wing feathers (compared to figure on left), large size of figures against deep landscape space & movement of water"
230,Simon de Vlieger ,Forest,representation,Prado Museum,20,FALSE,painting,"painting, oil on panel",61 x 61 cm,1640,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,4,0,1,4,4,FALSE,0,5,5,"angle of ground & trees, blowing leaves, storm-like tones, again weather-wind, blowing trees, dark foreboding"
233,Charles-Joseph Flipart ,"Disordered Table with a trompe l‰ЫЄoeil of Paintings, a Hurdy-gurdy, Books and other Objects",representation,Prado Museum,4,FALSE,painting,"painting, oil on canvas",91 x 171 cm,1779,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,1,0,0,4,2,FALSE,0,3,5,"sketch for painting, unusual display of overlapping objects facing different ways, layers of paintings & objects; great title"
8,Thomas Barker of Bath,The Woodman and his Dog in a Storm ,representation,Tate,9,FALSE,painting,"painting, oil on canvas",236 x 149 cm,1787,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,1,0,4,1,FALSE,0,0,5,"dark values, both pairs of eyes fixed on object out of canvas"
237,Francisco de Goya y Lucientes ,Dream 1. Universal Language. The Author dreaming,representation,Prado Museum,34,TRUE,drawing,"drawing, black chalk, pencil, iron gall ink on dark yellow laid paper",25 x 17 cm,1797,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,1,0,2,4,FALSE,0,5,0,"large bat over sleeping figure, dark areas & empty space, drawing for print, sense of handdrawn touch, parallel lines, areas not filled in, dream, unease"
38,FranМ¤ois Louis Thomas Francia,A Shipwreck ,representation,Tate,4,FALSE,painting,"painting, watercolour on paper",19 x 28 cm,1800,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,1,1,0,2,4,FALSE,0,0,5,"uncertainty in terms of content, will the people on the ship survive"
234,Francisco de Goya y Lucientes ,The 3rd of May 1808 in Madrid or ‰ЫПThe Executions‰Ыќ,representation,Prado Museum,34,FALSE,painting,"painting, oil on canvas",268 x 347 cm,1814,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0,4,0,2,2,4,FALSE,0,5,5,"dark sky, white shirt of man w/ outstretched arms, acents of light & color related to content, may be less uncertainty, but tension heightened by use of light to focus on the heroes, sense of a moment caught "
236,Francisco de Goya y Lucientes ,Dos personajes asomМБndose a una salida luminosa,representation,Prado Museum,34,FALSE,drawing,"drawing, red wash, red chalk on ivory laid paper",22 x 32 cm,1816,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,4,3,1,4,4,FALSE,0,5,5,"loosely handled wash, slant of doorway, empty off-white space beyond, focus on nothing through doorway & how figures peer / point"
